clip_id,asset_id,motion_id,episode_len_steps,success,terminated,max_gt_error,mean_gt_error,mean_gr_error
000654,female_0d2e4580,929,198,1,0,0.16265077888965607,0.08888527005910873,0.16376475989818573
000691,female_0d2e4580,961,198,1,0,0.12990474700927734,0.08562502264976501,0.16281165182590485
000712,female_0d2e4580,993,198,1,0,0.1286238431930542,0.08529065549373627,0.16531597077846527
000716,female_0d2e4580,1025,198,1,0,0.10065700113773346,0.06869137287139893,0.14667148888111115
000778,female_0d2e4580,1057,198,1,0,0.24250838160514832,0.10535009950399399,0.14075200259685516
000785,female_0d2e4580,1089,198,1,0,0.08670394867658615,0.05835844203829765,0.13317570090293884
000801,female_0d2e4580,1121,198,1,0,0.11778555810451508,0.08159229159355164,0.13081766664981842
000890,female_0d2e4580,1153,198,1,0,0.10681795328855515,0.06499482691287994,0.174820676445961
000897,female_0d2e4580,1185,198,1,0,0.29936638474464417,0.18398956954479218,0.43900546431541443
000978,female_0d2e4580,1217,198,1,0,0.21239697933197021,0.10951933264732361,0.13766297698020935
000980,female_0d2e4580,1249,198,1,0,0.2307295799255371,0.12505029141902924,0.23931796848773956
000984,female_0d2e4580,1281,198,1,0,0.11328937113285065,0.06778082251548767,0.15468597412109375
001019,female_0d2e4580,1313,198,1,0,0.09320446848869324,0.057909127324819565,0.17020392417907715
001036,female_0d2e4580,1345,198,1,0,0.10711799561977386,0.06361537426710129,0.13848039507865906
001079,female_0d2e4580,1377,198,1,0,0.08316859602928162,0.06129324436187744,0.1678427904844284
001081,female_0d2e4580,1409,198,1,0,0.13593196868896484,0.07879345118999481,0.12490440160036087
001111,female_0d2e4580,1441,198,1,0,0.18565958738327026,0.07864515483379364,0.17438387870788574
001154,female_0d2e4580,1473,198,1,0,0.14459127187728882,0.07958894968032837,0.12715139985084534
001200,female_0d2e4580,1505,198,1,0,0.1248665302991867,0.07612446695566177,0.13374465703964233
001208,female_0d2e4580,1537,198,1,0,0.11412885040044785,0.08534398674964905,0.16490627825260162
001220,female_0d2e4580,1569,198,1,0,0.2543873190879822,0.0984833613038063,0.1820583939552307
001243,female_0d2e4580,1601,198,1,0,0.10741051286458969,0.06467169523239136,0.162370964884758
001247,female_0d2e4580,1633,198,1,0,0.18035797774791718,0.06712528318166733,0.1380384862422943
001255,female_0d2e4580,1665,198,1,0,0.17610494792461395,0.10116425156593323,0.1762109249830246
001261,female_0d2e4580,1697,198,1,0,0.12663570046424866,0.07150700688362122,0.13495324552059174
001270,female_0d2e4580,1729,198,1,0,0.08417434990406036,0.06299429386854172,0.14607146382331848
001284,female_0d2e4580,1761,198,1,0,0.17936746776103973,0.09397805482149124,0.1665928065776825
001300,female_0d2e4580,1793,198,1,0,0.20626556873321533,0.1583893895149231,0.22100529074668884
001311,female_0d2e4580,1825,198,1,0,0.19883522391319275,0.10489345341920853,0.15736381709575653
001352,female_0d2e4580,1857,198,1,0,0.1361435502767563,0.0766596719622612,0.1347656399011612
001389,female_0d2e4580,1889,198,1,0,0.23870128393173218,0.1373639702796936,0.2388249784708023
001394,female_0d2e4580,1921,198,1,0,0.26643308997154236,0.10016753524541855,0.1386815309524536
001397,female_0d2e4580,1953,198,1,0,0.08764992654323578,0.06007518246769905,0.13802434504032135
001421,female_0d2e4580,1985,198,1,0,0.14966198801994324,0.08127540349960327,0.15894119441509247
001424,female_0d2e4580,2017,198,1,0,0.05398990958929062,0.05176125466823578,0.16655266284942627
001431,female_0d2e4580,2049,198,1,0,0.3522462248802185,0.26016107201576233,0.23464539647102356
001500,female_0d2e4580,2081,198,1,0,0.4026504456996918,0.21739932894706726,0.46129176020622253
001510,female_0d2e4580,2113,198,1,0,0.1013115867972374,0.06655840575695038,0.16464005410671234
001517,female_0d2e4580,2145,198,1,0,0.07702018320560455,0.06074298545718193,0.14524491131305695
001540,female_0d2e4580,2177,198,1,0,0.08438753336668015,0.06237831339240074,0.14261026680469513
001544,female_0d2e4580,2209,198,1,0,0.1588689237833023,0.08859322220087051,0.1556302309036255
001552,female_0d2e4580,2241,198,1,0,0.13409428298473358,0.08502726256847382,0.12432178109884262
001668,female_0d2e4580,2273,198,1,0,0.09198268502950668,0.05832158774137497,0.16930417716503143
001684,female_0d2e4580,2305,198,1,0,0.11128263175487518,0.058009300380945206,0.17149268090724945
001709,female_0d2e4580,2337,198,1,0,0.1314605176448822,0.0824943482875824,0.13833549618721008
001724,female_0d2e4580,2369,198,1,0,0.08957883715629578,0.06658291816711426,0.1424042284488678
001727,female_0d2e4580,2401,198,1,0,0.13151395320892334,0.09387551993131638,0.18502171337604523
001748,female_0d2e4580,2433,198,1,0,0.10982578247785568,0.08319469541311264,0.12598614394664764
001767,female_0d2e4580,2465,198,1,0,0.05875670164823532,0.050118330866098404,0.11971581727266312
001789,female_0d2e4580,2497,198,1,0,0.20979706943035126,0.10069575160741806,0.13012009859085083
